CATEGORY,SCHOOL NAME,ADDRESS,CITY,ZIP CODE,PHONE,URL,LONGITUDE,LATITUDE,LOCATION
MIDDLE SCHOOLS,Earle B. Wood MS,14615 Bauer Dr,Rockville,20852,301-460-2150,http://www.montgomeryschoolsmd.org/schools/woodms,-77.1075293636,39.093294956,"14615 Bauer Dr
Rockville, MD 20852
(39.093294956, -77.1075293636)"
MIDDLE SCHOOLS,Parkland MS,4610 W Frankfort Dr,Rockville,20853,301-438-5700,http://www.montgomeryschoolsmd.org/schools/parklandms,-77.0916686732,39.0841517945,"4610 W Frankfort Dr
Rockville, MD 20853
(39.0841517945, -77.0916686732)"
MIDDLE SCHOOLS,Briggs Chaney MS,1901 Rainbow Dr,Silver Spring,20905,301-989-6000,http://www.montgomeryschoolsmd.org/schools/briggschaneyms,-76.9714624882,39.1097896862,"1901 Rainbow Dr
Silver Spring, MD 20905
(39.1097896862, -76.9714624882)"
MIDDLE SCHOOLS,Martin Luther King MS,13737 Wisteria Dr,Germantown,20874,301-353-8080,http://www.montgomeryschoolsmd.org/schools/mlkms,-77.2851000471,39.1809127605,"13737 Wisteria Dr
Germantown, MD 20874
(39.1809127605, -77.2851000471)"
MIDDLE SCHOOLS,Kingsview MS,18909 Kingsview Rd,Germantown,20874,301-601-4611,http://www.montgomeryschoolsmd.org/schools/kingsviewms,-77.2850448312,39.1661607823,"18909 Kingsview Rd
Germantown, MD 20874
(39.1661607823, -77.2850448312)"
MIDDLE SCHOOLS,Argyle MS,2400 Bel Pre Rd,Silver Spring,20906,301-460-2400,http://www.montgomeryschoolsmd.org/schools/argylems,-77.048924226,39.0895212498,"2400 Bel Pre Rd
Silver Spring, MD 20906
(39.0895212498, -77.048924226)"
MIDDLE SCHOOLS,Rocky Hill MS,22401 Brick Haven Way,Clarksburg,20871,301-353-8282,http://www.montgomeryschoolsmd.org/schools/rockyhillms,-77.2634759958,39.2218821148,"22401 Brick Haven Way
Clarksburg, MD 20871
(39.2218821148, -77.2634759958)"
MIDDLE SCHOOLS,Neelsville MS,11700 Neelsville Church Rd,Germantown,20876,301-353-8064,http://www.montgomeryschoolsmd.org/schools/neelsvillems,-77.2405597451,39.1940928847,"11700 Neelsville Church Rd
Germantown, MD 20876
(39.1940928847, -77.2405597451)"
MIDDLE SCHOOLS,John T Baker MS,25400 Oak Dr,Damascus,20872,301-253-7010,http://www.montgomeryschoolsmd.org/schools/bakerms,-77.2187711116,39.2741001904,"25400 Oak Dr
Damascus, MD 20872
(39.2741001904, -77.2187711116)"
MIDDLE SCHOOLS,Thomas W Pyle MS,6311 Wilson La,Bethesda,20817,301-320-6540,http://www.montgomeryschoolsmd.org/schools/pylems,-77.1296136734,38.9888410039,"6311 Wilson La
Bethesda, MD 20817
(38.9888410039, -77.1296136734)"
