UBER_TYPE,LATITUDE,LONGITUDE,NEIGHBORHOOD,REQUEST_TIME,WAIT_TIME
uberX,-5.784912379826644,-35.19024362027136,Areia Preta,2017-11-03 06:33:27.772521,240
UberSELECT,-5.784912379826644,-35.19024362027136,Areia Preta,2017-11-03 06:33:28.541039,420
uberX,-5.837100617909099,-35.24228088762823,Cidade Nova,2017-11-03 06:33:30.868349,420
UberSELECT,-5.837100617909099,-35.24228088762823,Cidade Nova,2017-11-03 06:33:31.683460,540
uberX,-5.837046289569531,-35.23608309177326,Cidade Nova,2017-11-03 06:33:33.351002,600
UberSELECT,-5.837046289569531,-35.23608309177326,Cidade Nova,2017-11-03 06:33:34.107360,600
uberX,-5.832859528918811,-35.23054547928322,Cidade da Esperança,2017-11-03 06:33:36.223223,360
UberSELECT,-5.832859528918811,-35.23054547928322,Cidade da Esperança,2017-11-03 06:33:36.996387,420
uberX,-5.832500707735756,-35.23117655119029,Cidade da Esperança,2017-11-03 06:33:38.483989,360
UberSELECT,-5.832500707735756,-35.23117655119029,Cidade da Esperança,2017-11-03 06:33:39.253506,420
uberX,-5.821806452664728,-35.26684717974136,Felipe Camarão,2017-11-03 06:33:41.383558,660
uberX,-5.830434922004688,-35.25221923484888,Felipe Camarão,2017-11-03 06:33:43.639599,480
uberX,-5.825931291923624,-35.27974084290772,Guarapes,2017-11-03 06:33:46.544325,660
uberX,-5.822642573492355,-35.27580037059873,Guarapes,2017-11-03 06:33:48.767315,660
uberX,-5.87288227886748,-35.2313316888085,Pitimbu,2017-11-03 06:35:56.147475,600
UberSELECT,-5.87288227886748,-35.2313316888085,Pitimbu,2017-11-03 06:35:56.917964,600
uberX,-5.869742488833122,-35.232291484006346,Pitimbu,2017-11-03 06:35:58.392823,540
UberSELECT,-5.869742488833122,-35.232291484006346,Pitimbu,2017-11-03 06:35:59.172118,540
uberX,-5.853203731619935,-35.25403259501418,Planalto,2017-11-03 06:36:01.232843,420
uberX,-5.842144693909412,-35.247142146326745,Planalto,2017-11-03 06:36:03.548168,420
uberX,-5.878739983582921,-35.18941524955616,Ponta Negra,2017-11-03 06:36:07.302692,480
UberSELECT,-5.878739983582921,-35.18941524955616,Ponta Negra,2017-11-03 06:36:08.064553,480
uberX,-5.88159884283291,-35.18145650651154,Ponta Negra,2017-11-03 06:36:09.587529,300
UberSELECT,-5.88159884283291,-35.18145650651154,Ponta Negra,2017-11-03 06:36:10.365999,300
uberX,-5.878202611089647,-35.20434035878265,Neópolis,2017-11-03 06:36:12.683681,120
UberSELECT,-5.878202611089647,-35.20434035878265,Neópolis,2017-11-03 06:36:13.454723,240
uberX,-5.870057647007702,-35.21448831410203,Neópolis,2017-11-03 06:36:14.921106,120
UberSELECT,-5.870057647007702,-35.21448831410203,Neópolis,2017-11-03 06:36:15.724846,240
