UBER_TYPE,LATITUDE,LONGITUDE,NEIGHBORHOOD,REQUEST_TIME,WAIT_TIME
uberX,-5.856010980539917,-35.23776456365862,Pitimbu,2017-10-29 03:18:32.035788,360
UberSELECT,-5.856010980539917,-35.23776456365862,Pitimbu,2017-10-29 03:18:32.915881,600
uberX,-5.866342777794399,-35.22775574194743,Pitimbu,2017-10-29 03:18:34.364739,540
UberSELECT,-5.866342777794399,-35.22775574194743,Pitimbu,2017-10-29 03:18:35.112814,600
uberX,-5.853382696746945,-35.266590687338585,Planalto,2017-10-29 03:18:36.590419,300
UberSELECT,-5.853382696746945,-35.266590687338585,Planalto,2017-10-29 03:18:37.340357,300
uberX,-5.855358180007877,-35.248862933759526,Planalto,2017-10-29 03:18:38.775486,180
UberSELECT,-5.855358180007877,-35.248862933759526,Planalto,2017-10-29 03:18:39.537735,540
uberX,-5.898049433536476,-35.17357711662307,Ponta Negra,2017-10-29 03:18:41.043417,540
UberSELECT,-5.898049433536476,-35.17357711662307,Ponta Negra,2017-10-29 03:18:41.798716,600
uberX,-5.884194349617141,-35.18789704615711,Ponta Negra,2017-10-29 03:18:43.278494,120
UberSELECT,-5.884194349617141,-35.18789704615711,Ponta Negra,2017-10-29 03:18:44.012654,540
uberX,-5.869785730975172,-35.21120895698531,Neópolis,2017-10-29 03:18:45.440647,300
UberSELECT,-5.869785730975172,-35.21120895698531,Neópolis,2017-10-29 03:18:46.251815,720
uberX,-5.875221866513347,-35.20909877188293,Neópolis,2017-10-29 03:18:48.035258,300
UberSELECT,-5.875221866513347,-35.20909877188293,Neópolis,2017-10-29 03:18:48.788200,720
uberX,-5.850191190381635,-35.20504320679444,Capim Macio,2017-10-29 03:18:50.277942,240
UberSELECT,-5.850191190381635,-35.20504320679444,Capim Macio,2017-10-29 03:18:51.023496,480
uberX,-5.86570209090363,-35.192634491430205,Capim Macio,2017-10-29 03:18:52.485655,360
UberSELECT,-5.86570209090363,-35.192634491430205,Capim Macio,2017-10-29 03:18:53.248852,360
uberX,-5.721340770538803,-35.269413315071915,Lagoa Azul,2017-10-29 03:18:54.774749,420
uberX,-5.712285526196168,-35.248641106479475,Lagoa Azul,2017-10-29 03:18:57.663311,180
uberX,-5.738883725800005,-35.23929985579222,Pajuçara,2017-10-29 03:19:00.793084,300
uberX,-5.738267531852589,-35.233808999393865,Pajuçara,2017-10-29 03:19:03.083377,360
uberX,-5.804460536398999,-35.211443626517294,Lagoa Seca,2017-10-29 03:19:05.327729,180
UberSELECT,-5.804460536398999,-35.211443626517294,Lagoa Seca,2017-10-29 03:19:06.074297,600
uberX,-5.808428979930647,-35.21301185626101,Lagoa Seca,2017-10-29 03:19:07.582795,180
UberSELECT,-5.808428979930647,-35.21301185626101,Lagoa Seca,2017-10-29 03:19:08.349084,540
uberX,-5.796002549631551,-35.21105428344943,Barro Vermelho,2017-10-29 03:19:09.923658,300
UberSELECT,-5.796002549631551,-35.21105428344943,Barro Vermelho,2017-10-29 03:19:10.672285,660
uberX,-5.7994816508728775,-35.209660034198855,Barro Vermelho,2017-10-29 03:19:12.116987,240
UberSELECT,-5.7994816508728775,-35.209660034198855,Barro Vermelho,2017-10-29 03:19:12.873568,660
uberX,-5.836318974888657,-35.23014888594624,Candelária,2017-10-29 03:19:14.428923,240
UberSELECT,-5.836318974888657,-35.23014888594624,Candelária,2017-10-29 03:19:15.170263,600
uberX,-5.8451508304442665,-35.20979385328259,Candelária,2017-10-29 03:19:16.599053,180
UberSELECT,-5.8451508304442665,-35.20979385328259,Candelária,2017-10-29 03:19:17.313725,180
uberX,-5.778923650628178,-35.19361007919278,Praia do Meio,2017-10-29 03:19:18.793697,360
uberX,-5.778074572071385,-35.193826399828865,Praia do Meio,2017-10-29 03:19:21.011454,360
uberX,-5.773769454341536,-35.196333433987945,Rocas,2017-10-29 03:19:23.552410,300
uberX,-5.776151635050373,-35.200400630481894,Rocas,2017-10-29 03:19:25.720109,300
uberX,-5.765881970014319,-35.205108689627906,Santos Reis,2017-10-29 03:19:27.910666,480
uberX,-5.766356240769497,-35.201479617153396,Santos Reis,2017-10-29 03:19:30.116863,480
uberX,-5.735860598307758,-35.22146094428217,Redinha,2017-10-29 03:19:32.348481,300
uberX,-5.74036396046385,-35.2129701513735,Redinha,2017-10-29 03:19:34.576176,360
UberSELECT,-5.74036396046385,-35.2129701513735,Redinha,2017-10-29 03:19:35.336004,360
uberX,-5.766105318847097,-35.237910931683025,Salinas,2017-10-29 03:19:36.780988,360
uberX,-5.775216249848308,-35.21074957644437,Salinas,2017-10-29 03:19:39.283826,360
uberX,-5.766102342082223,-35.2607526656984,Igapó,2017-10-29 03:19:41.555872,240
UberSELECT,-5.766102342082223,-35.2607526656984,Igapó,2017-10-29 03:19:42.284422,540
uberX,-5.768270508032601,-35.27342449779335,Igapó,2017-10-29 03:19:43.727043,300
UberSELECT,-5.768270508032601,-35.27342449779335,Igapó,2017-10-29 03:19:44.442380,480
uberX,-5.755922640591694,-35.276001676956994,Nossa Senhora da Apresentação,2017-10-29 03:19:46.014674,120
uberX,-5.731081080838342,-35.29043644194462,Nossa Senhora da Apresentação,2017-10-29 03:19:48.252424,480
uberX,-5.749633942185423,-35.25954136327181,Potengi,2017-10-29 03:19:50.435983,240
uberX,-5.758102727581978,-35.249575995379644,Potengi,2017-10-29 03:19:52.588840,120
UberSELECT,-5.758102727581978,-35.249575995379644,Potengi,2017-10-29 03:19:53.350233,600
uberX,-5.777205959038851,-35.206681108852514,Ribeira,2017-10-29 03:19:54.852645,300
UberSELECT,-5.777205959038851,-35.206681108852514,Ribeira,2017-10-29 03:19:55.656838,720
uberX,-5.774099414087926,-35.20534106492771,Ribeira,2017-10-29 03:19:57.432710,360
uberX,-5.782272711607925,-35.20744501962969,Cidade Alta,2017-10-29 03:19:59.690363,240
UberSELECT,-5.782272711607925,-35.20744501962969,Cidade Alta,2017-10-29 03:20:00.426445,780
uberX,-5.784514353000277,-35.213534389888366,Cidade Alta,2017-10-29 03:20:01.933965,480
uberX,-5.793957621433174,-35.21587287680266,Alecrim,2017-10-29 03:20:04.510454,300
UberSELECT,-5.793957621433174,-35.21587287680266,Alecrim,2017-10-29 03:20:05.239788,600
uberX,-5.80317069122468,-35.22552883393597,Alecrim,2017-10-29 03:20:06.708424,180
UberSELECT,-5.80317069122468,-35.22552883393597,Alecrim,2017-10-29 03:20:07.520764,360
uberX,-5.795882406727808,-35.24180811735772,Nordeste,2017-10-29 03:20:09.032861,240
UberSELECT,-5.795882406727808,-35.24180811735772,Nordeste,2017-10-29 03:20:10.097216,300
uberX,-5.798594247390239,-35.2385504711201,Nordeste,2017-10-29 03:20:11.580118,180
UberSELECT,-5.798594247390239,-35.2385504711201,Nordeste,2017-10-29 03:20:12.569437,240
UberSELECT,-5.8061048196244,-35.23481920177547,Quintas,2017-10-29 03:20:14.059439,360
uberX,-5.801846630299013,-35.23793326416336,Quintas,2017-10-29 03:20:15.510377,180
UberSELECT,-5.801846630299013,-35.23793326416336,Quintas,2017-10-29 03:20:16.272606,300
uberX,-5.806415672799444,-35.232402067493524,Bom Pastor,2017-10-29 03:20:17.771376,180
