Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
05/31/2017 12:00:00 AM,2000,5311034,74804,491670,649086,755598,75118,29773,151454,86448,121229,30581,196563,29838,219797,249590,19252,877478,803111,40763,24710,86498,33895,132051,84899,46828
05/31/2017 12:00:00 AM,2001,5374691,74525,498559,640733,762925,77218,29814,154037,88228,124745,30647,202315,29812,222753,255211,19330,891764,817360,41253,25157,87455,34231,133093,85637,47889
05/31/2017 12:00:00 AM,2002,5440389,74204,504884,634115,770147,80153,30054,157930,90061,128079,30526,209194,29987,227369,259532,19443,903140,828893,42524,25445,89819,34628,134831,86679,48752
05/31/2017 12:00:00 AM,2003,5496269,74076,507769,629033,777756,83007,30553,161389,92444,131942,30628,213827,30182,231411,263186,19505,910498,837648,43688,25541,92333,34994,136872,88463,49524
05/31/2017 12:00:00 AM,2004,5546935,74408,513259,624222,784371,84928,30653,163915,94809,135601,31086,217776,30147,234849,265919,19513,914991,845950,44411,25807,94900,35793,139423,90210,49994
05/31/2017 12:00:00 AM,2005,5592379,73979,516171,621560,789110,86294,31416,165519,96836,138560,31422,221201,30083,238402,268590,19695,921531,853271,44879,25793,96871,36423,142084,92508,50181
05/31/2017 12:00:00 AM,2006,5627367,73980,517698,621109,793733,87043,32214,166950,98821,141164,31677,224211,30147,241163,271793,19786,926492,852097,45716,26139,98849,37000,144286,94621,50678
05/31/2017 12:00:00 AM,2007,5653408,74449,520503,620306,796073,87445,32720,167390,99628,142721,32172,227463,30148,241634,275196,19801,931694,849916,46517,26534,100599,37167,146173,96110,51049
05/31/2017 12:00:00 AM,2008,5684965,74638,525304,620184,798651,87788,32983,167433,100232,143783,32466,229286,30222,242779,278405,20150,942748,850167,47063,26474,101921,37307,146674,97111,51196
05/31/2017 12:00:00 AM,2009,5730388,75101,532395,620509,801808,88244,33013,167028,100816,144804,32470,230942,30145,243685,283061,20132,959013,856161,47532,26425,103273,37496,146953,98069,51313
05/31/2017 12:00:00 AM,2010,5788584,75021,539310,621195,806241,88945,33062,167210,101163,147148,32655,234202,30084,245240,288674,20192,976321,865821,47835,26480,105752,37884,147735,98937,51477
05/31/2017 12:00:00 AM,2011,5843603,74586,545017,620815,813169,89291,32912,167238,101635,149282,32694,237322,30101,246704,293898,20238,992928,874983,48329,26330,107781,37973,148827,100113,51437
05/31/2017 12:00:00 AM,2012,5889651,73975,550641,622722,818282,89685,32640,167191,101776,150770,32476,239610,29904,248661,299605,19986,1006218,882465,48520,26117,109071,38055,149215,100555,51511
05/31/2017 12:00:00 AM,2013,5931129,73618,555897,622858,823295,90477,32658,167476,101917,152821,32595,241180,29952,249210,304534,19819,1017759,891302,48495,26049,109607,37914,149321,100944,51431
05/31/2017 12:00:00 AM,2014,5967295,73045,559966,623353,826518,90601,32524,167700,102180,154567,32537,243569,29658,249839,308151,19793,1027780,900647,48727,25653,110483,37569,149459,101538,51438
05/31/2017 12:00:00 AM,2015,5994983,72531,563837,621402,829209,90620,32591,167651,102397,155923,32391,245377,29446,250138,312711,19768,1036233,906003,48889,25746,111628,37523,149570,102019,51380
05/31/2017 12:00:00 AM,2016,6016447,72130,568346,614664,831026,91251,32850,167656,102603,157705,32258,247591,29425,251032,317233,19730,1043863,908049,48929,25928,112587,37278,150292,102577,51444
